n type t_tot t_blk lambda s feed x y z
10 0 0.438000 0.432000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.444000 0.438000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.450000 0.444000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.456000 0.450000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.462000 0.456000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.468000 0.462000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.474000 0.468000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.480000 0.474000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.486000 0.480000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.492000 0.486000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.498000 0.492000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.504000 0.498000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.510000 0.504000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.516000 0.510000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.522000 0.516000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.528000 0.522000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.534000 0.528000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.540000 0.534000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.546000 0.540000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.552000 0.546000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.558000 0.552000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.564000 0.558000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.570000 0.564000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.576000 0.570000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.582000 0.576000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.588000 0.582000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.594000 0.588000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.600000 0.594000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.606000 0.600000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.612000 0.606000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.618000 0.612000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.624000 0.618000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.630000 0.624000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.636000 0.630000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.642000 0.636000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.648000 0.642000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.654000 0.648000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.660000 0.654000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.666000 0.660000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.672000 0.666000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.678000 0.672000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.684000 0.678000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.690000 0.684000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.696000 0.690000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.702000 0.696000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.708000 0.702000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.714000 0.708000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
